ProduitId,ProductName,Description,Fournisseur,Lieu,Prix,SiteWeb
1,Paillis de Cèdre Naturel,"Paillis aromatique à base de copeaux de cèdre, durable et esthétique, aide à conserver l'humidité.",Jardin du Fjord,Saguenay,18.50,https://www.jardindufjord.ca/paillis-cedre-naturel
2,Paillis de Paille Horticulturelle,"Paillis léger idéal pour les potagers, protège le sol et réduit l'évaporation. Balles compressées.",Quincaillerie Boréale,Jonquière,12.99,https://www.quincaillerie-boreale.ca/paillis-paille-horticole
3,Semences Tomates Résistantes (Variété A),"Sachets de semences d'une variété de tomate sélectionnée pour sa résistance à plusieurs maladies fongiques et virales.",Pépinière des Monts Valin,Laterrière,5.25,https://www.pepinieremontsvalin.ca/semences-tomate-resistante-a
4,Plants de Pommes de Terre (Variété B),"Jeunes plants de pomme de terre d'une variété connue pour sa tolérance au mildiou et à la gale commune.",Agri-Centre Saguenay,Chicoutimi,4.00,https://www.agricentresaguenay.ca/plants-patate-variete-b
5,Fongicide au Soufre Jardinier Bio,"Fongicide préventif à base de soufre, homologué pour l'agriculture biologique, efficace contre l'oïdium et la rouille.",Éco-Jardin Saguenay,La Baie,21.50,https://www.ecojardinsaguenay.ca/fongicide-soufre-bio
6,Bouillie Bordelaise (Fongicide Cuivre),"Fongicide à base de cuivre, couramment utilisé pour contrôler le mildiou et l'alternariose. Homologué bio.",Jardin du Fjord,Saguenay,26.00,https://www.jardindufjord.ca/bouillie-bordelaise
7,Fongicide Liquide Concentré (Systémique),"Fongicide systémique qui pénètre dans la plante pour offrir une protection contre de nombreuses maladies foliaires.",Quincaillerie Boréale,Jonquière,35.75,https://www.quincaillerie-boreale.ca/fongicide-systemique-liquide
8,Fongicide en Poudre Mouillable (Large Spectre),"Fongicide de contact efficace contre un large éventail de champignons pathogènes affectant les feuilles.",Agri-Centre Saguenay,Chicoutimi,30.00,https://www.agricentresaguenay.ca/fongicide-poudre-largespectre
9,Savon Insecticide Biologique Prêt à l'Emploi,"Solution prête à pulvériser à base de sels de potassium, agit par contact contre pucerons, aleurodes, etc.",Jardin du Fjord,La Baie,16.99,https://www.jardindufjord.ca/savon-insecticide-bio
10,Insecticide Pyrethrine Jardin Bio,"Insecticide à base de pyréthrines naturelles, agit rapidement contre de nombreux insectes rampants et volants. Homologué bio.",Éco-Jardin Saguenay,Saguenay,19.50,https://www.ecojardinsaguenay.ca/insecticide-pyrethrine-bio
11,Insecticide Systémique Granulaire (Racines),"Granulés à appliquer au sol, le végétal absorbe l'insecticide pour une protection interne contre les insectes piqueurs-suceurs.",Quincaillerie Boréale,Jonquière,28.00,https://www.quincaillerie-boreale.ca/insecticide-granulaire-systemique
12,Pièges Jaunes Adhésifs (Lot de 10),"Lot de 10 pièges englués jaunes, idéaux pour le suivi des populations d'insectes volants dans la serre ou le jardin.",Centre Jardin du Fjord,Chicoutimi,10.50,https://www.jardindufjord.ca/pieges-jaunes-lot10
13,Pièges Collants Rouleau (Grand Format),"Rouleau de piège collant jaune pour couvrir de plus grandes surfaces ou utiliser en serre.",Agri-Centre Saguenay,La Baie,25.00,https://www.agricentresaguenay.ca/piege-collant-rouleau
14,Engrais Tomates et Légumes 10-15-20,"Engrais granulaire avec une formulation spécifique (N-P-K) pour favoriser la floraison et la fructification des plantes potagères.",Quincaillerie Boréale,Saguenay,22.00,https://www.quincaillerie-boreale.ca/engrais-tomate-legume
15,Engrais Tout Usage 5-10-5 Bio,"Engrais organique granulaire polyvalent pour le potager et les plates-bandes, source équilibrée de nutriments.",Éco-Jardin Saguenay,Jonquière,24.00,https://www.ecojardinsaguenay.ca/engrais-toutusage-bio
16,Kit d'Analyse de Sol (pH et Nutriments),"Coffret d'analyse rapide pour évaluer le pH du sol et les niveaux approximatifs d'azote, phosphore et potassium.",Jardin du Fjord,Chicoutimi,38.00,https://www.jardindufjord.ca/kit-analyse-sol
17,Services d'Analyse de Sol (Laboratoire),"Prestation de services pour une analyse complète et détaillée de votre sol en laboratoire (macronutriments, oligo-éléments, texture, etc.).",Agri-Centre Saguenay,La Baie,Variable (selon analyse),https://www.agricentresaguenay.ca/service-analyse-sol
18,Alcool Isopropylique 99.9%,"Alcool pur à 99.9% pour une désinfection efficace des outils et surfaces.",Quincaillerie Boréale,Saguenay,9.00,https://www.quincaillerie-boreale.ca/alcool-isopropylique
19,Concentré d'Eau de Javel (Usage Multiple),"Bouteille d'eau de Javel concentrée à diluer pour divers usages, incluant la désinfection.",Quincaillerie Boréale,Jonquière,4.50,https://www.quincaillerie-boreale.ca/eau-javel-concentre
20,Larves de Coccinelles (Lutte Pucerons),"Organismes vivants : larves de coccinelles pour le contrôle biologique des populations de pucerons.",Éco-Jardin Saguenay (Sur commande),Chicoutimi,Variable,https://www.ecojardinsaguenay.ca/larves-coccinelles-biocontrole
21,Acariens Prédateurs (pour Thrips) - Amblyseius,"Organismes vivants : acariens prédateurs spécifiques (*Amblyseius* spp.) pour le contrôle biologique des thrips.",Agri-Centre Saguenay (Sur commande),La Baie,Variable,https://www.agricentresaguenay.ca/acariens-predateurs-thrips
22,Perlite Horticulturelle Fine,"Perlite de granulométrie fine pour améliorer l'aération et le drainage des terreaux d'empotage.",Jardin du Fjord,Saguenay,13.50,https://www.jardindufjord.ca/perlite-fine
23,Perlite Horticulturelle Grossière,"Perlite de granulométrie plus grosse, idéale pour alléger les sols lourds en pleine terre et améliorer le drainage.",Quincaillerie Boréale,Jonquière,14.00,https://www.quincaillerie-boreale.ca/perlite-grossiere
24,Herbicide Foliaire Non Sélectif,"Herbicide agissant sur le feuillage pour éliminer une large gamme de mauvaises herbes existantes.",Quincaillerie Boréale,Chicoutimi,45.00,https://www.quincaillerie-boreale.ca/herbicide-foliaire-nonselectif
25,Loupe de Jardinier avec LED,"Petite loupe grossissante, parfois avec éclairage LED, utile pour observer les petits insectes ou les premiers symptômes sur les feuilles.",Jardin du Fjord,La Baie,9.50,https://www.jardindufjord.ca/loupe-jardinier
26,Sécateur de Jardin Bypass,"Sécateur manuel pour couper les tiges et les branches fines, essentiel pour la taille et l'élimination des parties malades.",Quincaillerie Boréale,Saguenay,29.95,https://www.quincaillerie-boreale.ca/secateur-bypass
27,Tuteurs pour Plantes (Lot),"Lot de tuteurs en bambou, métal ou plastique pour supporter les plantes et améliorer la circulation de l'air.",Jardin du Fjord,Jonquière,15.00,https://www.jardindufjord.ca/tuteurs-plantes
28,Arrosoir Plastique (10L),"Arrosoir en plastique de grande capacité pour l'arrosage manuel au pied des plantes.",Quincaillerie Boréale,Chicoutimi,19.95,https://www.quincaillerie-boreale.ca/arrosoir-plastique
29,Marqueurs à Plantes Durables (Lot),"Lot de marqueurs en plastique ou ardoise pour identifier les variétés et les emplacements de culture.",Éco-Jardin Saguenay,La Baie,7.50,https://www.ecojardinsaguenay.ca/marqueurs-plantes
30,Ruban de Greffage Élastique,"Ruban spécial, souvent en plastique élastique, utilisé pour lier les greffes et favoriser la soudure.",Agri-Centre Saguenay,Saguenay,11.00,https://www.agricentresaguenay.ca/ruban-greffage
31,Compost Amendement de Sol Biologique,"Compost mature et certifié biologique, riche en matière organique, améliore la structure et la fertilité du sol.",Éco-Jardin Saguenay,Jonquière,16.50,https://www.ecojardinsaguenay.ca/compost-bio
32,Gants de Jardinage Robustes,"Paire de gants de jardinage résistants pour protéger les mains lors des manipulations de plantes, de terre ou de produits.",Quincaillerie Boréale,Chicoutimi,14.99,https://www.quincaillerie-boreale.ca/gants-jardinage
33,Sacs à Déchets de Jardin Compostables,"Sacs biodégradables ou résistants conçus spécifiquement pour la collecte des résidus végétaux.",Jardin du Fjord,La Baie,8.00,https://www.jardindufjord.ca/sacs-dechets-jardin
