,filename,source,subset,class
0,healthy100_.jpg,ccmt,train,healthy
1,healthy102_.jpg,ccmt,train,healthy
2,healthy101_.jpg,ccmt,train,healthy
3,healthy103_.jpg,ccmt,train,healthy
4,healthy104_.jpg,ccmt,train,healthy
5,healthy106_.jpg,ccmt,train,healthy
6,healthy105_.jpg,ccmt,train,healthy
7,healthy107_.jpg,ccmt,train,healthy
8,healthy109_.jpg,ccmt,train,healthy
9,healthy108_.jpg,ccmt,train,healthy
10,healthy10_.jpg,ccmt,test,healthy
11,healthy110_.jpg,ccmt,train,healthy
12,healthy114_.jpg,ccmt,train,healthy
13,healthy113_.jpg,ccmt,test,healthy
14,healthy112_.jpg,ccmt,train,healthy
15,healthy111_.jpg,ccmt,train,healthy
16,healthy117_.jpg,ccmt,train,healthy
17,healthy115_.jpg,ccmt,train,healthy
18,healthy118_.jpg,ccmt,train,healthy
19,healthy116_.jpg,ccmt,test,healthy
20,healthy11_.jpg,ccmt,test,healthy
21,healthy119_.jpg,ccmt,test,healthy
22,healthy120_.jpg,ccmt,test,healthy
23,healthy121_.jpg,ccmt,test,healthy
24,healthy122_.jpg,ccmt,train,healthy
25,healthy123_.jpg,ccmt,train,healthy
26,healthy124_.jpg,ccmt,train,healthy
27,healthy125_.jpg,ccmt,train,healthy
28,healthy126_.jpg,ccmt,test,healthy
29,healthy127_.jpg,ccmt,train,healthy
30,healthy128_.jpg,ccmt,test,healthy
31,healthy129_.jpg,ccmt,train,healthy
32,healthy12_.jpg,ccmt,train,healthy
33,healthy130_.jpg,ccmt,train,healthy
34,healthy131_.jpg,ccmt,test,healthy
35,healthy132_.jpg,ccmt,train,healthy
36,healthy133_.jpg,ccmt,train,healthy
37,healthy135_.jpg,ccmt,train,healthy
38,healthy134_.jpg,ccmt,train,healthy
39,healthy136_.jpg,ccmt,test,healthy
40,healthy137_.jpg,ccmt,train,healthy
41,healthy138_.jpg,ccmt,train,healthy
42,healthy139_.jpg,ccmt,train,healthy
43,healthy140_.jpg,ccmt,train,healthy
44,healthy13_.jpg,ccmt,test,healthy
45,healthy141_.jpg,ccmt,train,healthy
46,healthy142_.jpg,ccmt,train,healthy
47,healthy143_.jpg,ccmt,test,healthy
