,filename,source,subset,class
0,00fc2ee5-729f-4757-8aeb-65c3355874f2___RS_HL_1864.JPG,plant_village,train,healthy
1,03da9931-e514-4cc7-b04a-8f474a133ce5___RS_HL_1830.JPG,plant_village,train,healthy
2,04481ca2-f94c-457e-b785-1ac05800b7ec___RS_HL_1930.JPG,plant_village,train,healthy
3,046641c1-f837-49eb-b5f2-4109910a027c___RS_HL_1878.JPG,plant_village,train,healthy
4,07dfb451-4378-49d1-b699-33a5fc49ff07___RS_HL_5399.JPG,plant_village,test,healthy
5,0b3e5032-8ae8-49ac-8157-a1cac3df01dd___RS_HL_1817.JPG,plant_village,test,healthy
6,0be9d721-82f5-42c3-b535-7494afe01dbe___RS_HL_1814.JPG,plant_village,train,healthy
7,0f4ebc5a-d646-436a-919d-961342997cde___RS_HL_4183.JPG,plant_village,train,healthy
8,1106c3fc-92cb-41a6-a6c6-8f08b9b45108___RS_HL_1914.JPG,plant_village,train,healthy
9,111cd9d8-4d27-4225-be9e-d29b21cf56b9___RS_HL_5419.JPG,plant_village,train,healthy
10,142fb983-2166-4a0f-b99b-a6c21e99987e___RS_HL_5398.JPG,plant_village,test,healthy
11,14484ea5-9c34-427c-abe4-2743265aced0___RS_HL_4204.JPG,plant_village,test,healthy
12,144d2475-21ab-4bdc-a67c-9672a9b711e6___RS_HL_5376.JPG,plant_village,train,healthy
13,163ada72-4288-4f85-a3c1-feed23c8d1de___RS_HL_1940.JPG,plant_village,test,healthy
14,170f1f57-0fd4-421f-9c82-3b1804be63ad___RS_HL_1771.JPG,plant_village,train,healthy
15,1a1184f8-c414-4ead-a4c4-41ae78e29a82___RS_HL_1971.JPG,plant_village,train,healthy
16,1ae826e2-5148-47bd-a44c-711ec9cc9c75___RS_HL_1954.JPG,plant_village,test,healthy
17,1b434c52-7be4-40c4-90d5-13220f1a3eba___RS_HL_5418.JPG,plant_village,train,healthy
18,1dcfeaa9-006d-470c-b3e5-d67609d07d4e___RS_HL_1808.JPG,plant_village,train,healthy
19,1f9870b3-899e-46fb-98c9-cfc2ce92895b___RS_HL_1816.JPG,plant_village,train,healthy
20,20ac28d6-5708-4e31-8676-1b1979de094f___RS_HL_1735.JPG,plant_village,train,healthy
21,22322780-95b4-4b45-b626-26b22965d55e___RS_HL_1880.JPG,plant_village,test,healthy
22,23f1ab77-d664-49c4-92eb-41eb66c6d101___RS_HL_4169.JPG,plant_village,train,healthy
23,23f4d3b1-23f4-43fb-96c2-dae37224ec74___RS_HL_1803.JPG,plant_village,train,healthy
