,filename,source,subset,class,pred
10,healthy10_.jpg,ccmt,test,healthy,healthy
13,healthy113_.jpg,ccmt,test,healthy,healthy
19,healthy116_.jpg,ccmt,test,healthy,healthy
20,healthy11_.jpg,ccmt,test,healthy,healthy
21,healthy119_.jpg,ccmt,test,healthy,healthy
22,healthy120_.jpg,ccmt,test,healthy,healthy
23,healthy121_.jpg,ccmt,test,healthy,healthy
28,healthy126_.jpg,ccmt,test,healthy,healthy
30,healthy128_.jpg,ccmt,test,healthy,healthy
34,healthy131_.jpg,ccmt,test,healthy,healthy
39,healthy136_.jpg,ccmt,test,healthy,leaf_spot
44,healthy13_.jpg,ccmt,test,healthy,healthy
47,healthy143_.jpg,ccmt,test,healthy,healthy
49,healthy145_.jpg,ccmt,test,healthy,healthy
52,healthy148_.jpg,ccmt,test,healthy,healthy
54,healthy150_.jpg,ccmt,test,healthy,healthy
56,healthy151_.jpg,ccmt,test,healthy,healthy
58,healthy153_.jpg,ccmt,test,healthy,healthy
70,healthy164_.jpg,ccmt,test,healthy,healthy
71,healthy165_.jpg,ccmt,test,healthy,healthy
73,healthy168_.jpg,ccmt,test,healthy,healthy
75,healthy16_.jpg,ccmt,test,healthy,leaf_spot
76,healthy169_.jpg,ccmt,test,healthy,leaf_blight
78,healthy170_.jpg,ccmt,test,healthy,streak_virus
82,healthy175_.jpg,ccmt,test,healthy,healthy
83,healthy176_.jpg,ccmt,test,healthy,healthy
87,healthy17_.jpg,ccmt,test,healthy,leaf_spot
91,healthy182_.jpg,ccmt,test,healthy,healthy
100,healthy191_.jpg,ccmt,test,healthy,leaf_spot
106,healthy197_.jpg,ccmt,test,healthy,healthy
108,healthy199_.jpg,ccmt,test,healthy,healthy
111,healthy200_.jpg,ccmt,test,healthy,healthy
112,healthy202_.jpg,ccmt,test,healthy,healthy
113,healthy203_.jpg,ccmt,test,healthy,healthy
127,healthy27_.jpg,ccmt,test,healthy,healthy
128,healthy28_.jpg,ccmt,test,healthy,healthy
