,filename,source,subset,class,plant,pred
0,IMG20220323104920.jpg,tomato_village,test,early_blight,tomato,tomato
7,IMG20220323102220.jpg,tomato_village,test,early_blight,tomato,tomato
12,IMG20220323103125.jpg,tomato_village,test,early_blight,tomato,tomato
15,IMG20220323104634.jpg,tomato_village,test,early_blight,tomato,tomato
18,IMG20220323110739.jpg,tomato_village,test,early_blight,tomato,tomato
21,IMG20220323124302.jpg,tomato_village,test,early_blight,tomato,tomato
23,IMG20220323132206.jpg,tomato_village,test,early_blight,tomato,tomato
24,IMG20220323183200.jpg,tomato_village,test,early_blight,tomato,tomato
26,IMG20220323184451.jpg,tomato_village,test,early_blight,tomato,tomato
36,IMG20220324175319.jpg,tomato_village,test,early_blight,tomato,tomato
40,IMG20220324181738.jpg,tomato_village,test,early_blight,tomato,tomato
41,IMG20220324182628.jpg,tomato_village,test,early_blight,tomato,tomato
45,IMG20220324184129.jpg,tomato_village,test,early_blight,tomato,tomato
46,IMG20220324184222.jpg,tomato_village,test,early_blight,tomato,tomato
47,IMG20220325120823.jpg,tomato_village,test,early_blight,tomato,tomato
55,IMG20220324115008.jpg,tomato_village,test,early_blight,tomato,tomato
56,IMG20220324122015.jpg,tomato_village,test,early_blight,tomato,tomato
57,IMG20220324180120.jpg,tomato_village,test,early_blight,tomato,tomato
60,IMG20220325114801.jpg,tomato_village,test,early_blight,tomato,tomato
69,IMG20220324183255.jpg,tomato_village,test,healthy,tomato,tomato
70,IMG20220324183802.jpg,tomato_village,test,healthy,tomato,tomato
82,IMG20220325142117.jpg,tomato_village,test,healthy,tomato,tomato
83,IMG20220325142503.jpg,tomato_village,test,healthy,tomato,tomato
93,IMG20220323124837.jpg,tomato_village,test,healthy,tomato,tomato
95,IMG20220324105039.jpg,tomato_village,test,healthy,tomato,tomato
97,IMG20220324110529.jpg,tomato_village,test,healthy,tomato,tomato
102,IMG20220324110914.jpg,tomato_village,test,healthy,tomato,tomato
107,IMG20220324112508.jpg,tomato_village,test,healthy,tomato,tomato
115,IMG20220324113224.jpg,tomato_village,test,healthy,tomato,tomato
120,IMG20220324113538.jpg,tomato_village,test,healthy,tomato,tomato
122,IMG20220324113744.jpg,tomato_village,test,healthy,tomato,tomato
123,IMG20220324114315.jpg,tomato_village,test,healthy,tomato,tomato
124,IMG20220324114318.jpg,tomato_village,test,healthy,tomato,tomato
129,IMG20220324114626.jpg,tomato_village,test,healthy,tomato,tomato
132,IMG20220324114807.jpg,tomato_village,test,healthy,tomato,tomato
142,IMG20220324115841.jpg,tomato_village,test,healthy,tomato,tomato
146,IMG20220324120641.jpg,tomato_village,test,healthy,tomato,tomato
