,filename,source,subset,class,pred
0,IMG20220323104920.jpg,tomato_village,test,early_blight,spotted_wilt_virus
7,IMG20220323102220.jpg,tomato_village,test,early_blight,spotted_wilt_virus
12,IMG20220323103125.jpg,tomato_village,test,early_blight,spotted_wilt_virus
15,IMG20220323104634.jpg,tomato_village,test,early_blight,spotted_wilt_virus
18,IMG20220323110739.jpg,tomato_village,test,early_blight,spotted_wilt_virus
21,IMG20220323124302.jpg,tomato_village,test,early_blight,spotted_wilt_virus
23,IMG20220323132206.jpg,tomato_village,test,early_blight,spotted_wilt_virus
24,IMG20220323183200.jpg,tomato_village,test,early_blight,spotted_wilt_virus
26,IMG20220323184451.jpg,tomato_village,test,early_blight,leaf_miner
36,IMG20220324175319.jpg,tomato_village,test,early_blight,spotted_wilt_virus
40,IMG20220324181738.jpg,tomato_village,test,early_blight,nutrient_deficiency
41,IMG20220324182628.jpg,tomato_village,test,early_blight,spotted_wilt_virus
45,IMG20220324184129.jpg,tomato_village,test,early_blight,spotted_wilt_virus
46,IMG20220324184222.jpg,tomato_village,test,early_blight,spotted_wilt_virus
47,IMG20220325120823.jpg,tomato_village,test,early_blight,healthy
55,IMG20220324115008.jpg,tomato_village,test,early_blight,spotted_wilt_virus
56,IMG20220324122015.jpg,tomato_village,test,early_blight,spotted_wilt_virus
57,IMG20220324180120.jpg,tomato_village,test,early_blight,spotted_wilt_virus
60,IMG20220325114801.jpg,tomato_village,test,early_blight,spotted_wilt_virus
69,IMG20220324183255.jpg,tomato_village,test,healthy,leaf_miner
70,IMG20220324183802.jpg,tomato_village,test,healthy,leaf_miner
82,IMG20220325142117.jpg,tomato_village,test,healthy,healthy
83,IMG20220325142503.jpg,tomato_village,test,healthy,leaf_miner
93,IMG20220323124837.jpg,tomato_village,test,healthy,leaf_miner
95,IMG20220324105039.jpg,tomato_village,test,healthy,healthy
97,IMG20220324110529.jpg,tomato_village,test,healthy,leaf_miner
102,IMG20220324110914.jpg,tomato_village,test,healthy,healthy
107,IMG20220324112508.jpg,tomato_village,test,healthy,healthy
115,IMG20220324113224.jpg,tomato_village,test,healthy,leaf_miner
120,IMG20220324113538.jpg,tomato_village,test,healthy,healthy
122,IMG20220324113744.jpg,tomato_village,test,healthy,leaf_miner
123,IMG20220324114315.jpg,tomato_village,test,healthy,healthy
124,IMG20220324114318.jpg,tomato_village,test,healthy,healthy
129,IMG20220324114626.jpg,tomato_village,test,healthy,healthy
132,IMG20220324114807.jpg,tomato_village,test,healthy,healthy
142,IMG20220324115841.jpg,tomato_village,test,healthy,healthy
146,IMG20220324120641.jpg,tomato_village,test,healthy,healthy
148,IMG20220324120936.jpg,tomato_village,test,healthy,healthy
151,IMG20220324121832.jpg,tomato_village,test,healthy,leaf_miner
153,IMG20220324175653.jpg,tomato_village,test,healthy,leaf_miner
157,IMG20220324183800.jpg,tomato_village,test,healthy,leaf_miner
160,IMG20220325105627.jpg,tomato_village,test,healthy,healthy
161,IMG20220325105910.jpg,tomato_village,test,healthy,leaf_miner
165,IMG20220325111940.jpg,tomato_village,test,healthy,leaf_miner
167,IMG20220325113720.jpg,tomato_village,test,healthy,healthy
168,IMG20220325113822.jpg,tomato_village,test,healthy,leaf_miner
171,IMG20220325114117.jpg,tomato_village,test,healthy,healthy
172,IMG20220325114131.jpg,tomato_village,test,healthy,healthy
178,IMG20220325114231.jpg,tomato_village,test,healthy,healthy
179,IMG20220325114623.jpg,tomato_village,test,healthy,healthy
180,IMG20220325114626.jpg,tomato_village,test,healthy,healthy
182,IMG20220325115449.jpg,tomato_village,test,healthy,healthy
183,IMG20220325120421.jpg,tomato_village,test,healthy,leaf_miner
184,IMG20220325120423.jpg,tomato_village,test,healthy,leaf_miner
187,IMG20220325121059.jpg,tomato_village,test,healthy,healthy
189,IMG20220325121221.jpg,tomato_village,test,healthy,healthy
190,IMG20220325133245.jpg,tomato_village,test,healthy,leaf_miner
192,IMG20220325133658.jpg,tomato_village,test,healthy,healthy
199,IMG20220325134330.jpg,tomato_village,test,healthy,healthy
201,IMG20220325134439.jpg,tomato_village,test,healthy,healthy
206,IMG20220325135221.jpg,tomato_village,test,healthy,healthy
208,IMG20220325135257.jpg,tomato_village,test,healthy,healthy
215,IMG20220325141056.jpg,tomato_village,test,healthy,leaf_miner
216,IMG20220325141235.jpg,tomato_village,test,healthy,leaf_miner
218,IMG20220325141244.jpg,tomato_village,test,healthy,healthy
220,IMG20220325141445.jpg,tomato_village,test,healthy,healthy
226,IMG20220325142126.jpg,tomato_village,test,healthy,healthy
228,IMG20220325142359.jpg,tomato_village,test,healthy,healthy
230,IMG20220325142427.jpg,tomato_village,test,healthy,healthy
236,IMG20220323183236.jpg,tomato_village,test,healthy,leaf_miner
242,IMG20220324112342.jpg,tomato_village,test,healthy,healthy
243,IMG20220324113317.jpg,tomato_village,test,healthy,healthy
252,IMG20220324122029.jpg,tomato_village,test,healthy,healthy
253,IMG20220325105012.jpg,tomato_village,test,healthy,healthy
254,IMG20220325105015.jpg,tomato_village,test,healthy,healthy
256,IMG20220325105913.jpg,tomato_village,test,healthy,leaf_miner
257,IMG20220325113945.jpg,tomato_village,test,healthy,leaf_miner
259,IMG20220325120553.jpg,tomato_village,test,healthy,healthy
261,IMG20220325133905.jpg,tomato_village,test,healthy,leaf_miner
268,IMG20220325135045.jpg,tomato_village,test,healthy,healthy
270,IMG20220325135159.jpg,tomato_village,test,healthy,healthy
272,IMG20220325135434.jpg,tomato_village,test,healthy,healthy
275,IMG20220325142157.jpg,tomato_village,test,healthy,healthy
276,IMG20220325142514.jpg,tomato_village,test,healthy,healthy
280,IMG20220324105456.jpg,tomato_village,test,late_blight,spotted_wilt_virus
282,IMG20220324121427.jpg,tomato_village,test,late_blight,spotted_wilt_virus
283,IMG20220324121558.jpg,tomato_village,test,late_blight,spotted_wilt_virus
288,IMG20220325134406.jpg,tomato_village,test,late_blight,nutrient_deficiency
289,IMG20220325135513.jpg,tomato_village,test,late_blight,spotted_wilt_virus
293,IMG20220323122740.jpg,tomato_village,test,late_blight,spotted_wilt_virus
295,IMG20220323122853.jpg,tomato_village,test,late_blight,spotted_wilt_virus
298,IMG20220323124538.jpg,tomato_village,test,late_blight,spotted_wilt_virus
306,IMG20220323130703.jpg,tomato_village,test,late_blight,spotted_wilt_virus
311,IMG20220323180803.jpg,tomato_village,test,late_blight,spotted_wilt_virus
313,IMG20220323181038.jpg,tomato_village,test,late_blight,late_blight
314,IMG20220323181113.jpg,tomato_village,test,late_blight,spotted_wilt_virus
316,IMG20220323181329.jpg,tomato_village,test,late_blight,spotted_wilt_virus
324,IMG20220323183714.jpg,tomato_village,test,late_blight,late_blight
326,IMG20220323185543.jpg,tomato_village,test,late_blight,spotted_wilt_virus
343,IMG20220324121446.jpg,tomato_village,test,late_blight,spotted_wilt_virus
349,IMG20220324180137.jpg,tomato_village,test,late_blight,spotted_wilt_virus
350,IMG20220324181743.jpg,tomato_village,test,late_blight,spotted_wilt_virus
352,IMG20220325110725.jpg,tomato_village,test,late_blight,nutrient_deficiency
353,IMG20220325111253.jpg,tomato_village,test,late_blight,spotted_wilt_virus
355,IMG20220325111332.jpg,tomato_village,test,late_blight,late_blight
356,IMG20220325111358.jpg,tomato_village,test,late_blight,late_blight
359,IMG20220325111442.jpg,tomato_village,test,late_blight,spotted_wilt_virus
363,IMG20220325142437.jpg,tomato_village,test,late_blight,nutrient_deficiency
367,IMG20220325142616.jpg,tomato_village,test,late_blight,spotted_wilt_virus
368,IMG20220323122542.jpg,tomato_village,test,late_blight,spotted_wilt_virus
369,IMG20220323122847.jpg,tomato_village,test,late_blight,spotted_wilt_virus
